CID,C
CID000188288,C12440
CID000188960,C06156
CID000188966,C00206
CID000188984,C03166
CID000189003,C06674
CID000189062,C00885
CID000189122,C01031
CID000191190,C01114
CID000192735,C05487
CID000192781,C00684
CID000192878,C01250
CID000193002,C04297
CID000193187,C04020
CID000193305,C01165
CID000193321,C05446
CID000193396,C17336
CID000193425,C03344
CID000193475,C03287
CID000193524,C15776
CID000193537,C03267
CID000193545,C05827
CID000193577,C06056
CID000193735,C04916
CID000193886,C06019
CID000194139,C01804
CID000194140,C01841
CID000194428,C17580
CID000194695,C03871
CID000196146,C02587
CID000196427,C05778
CID000197189,C18001
CID000201434,C00552
CID000203442,C02627
CID000219833,C05484
CID000221493,C00695
CID000222284,C01753
CID000222528,C04483
CID000222528,C11171
CID000222656,C00149
CID000222786,C00762
CID000222865,C00674
CID000223997,C05285
CID000225936,C03044
CID000228215,C17217
CID000244872,C19625
CID000246873,C05482
CID000246983,C01724
CID000247304,C05301
CID000250388,C11821
CID000252379,C05290
CID000259846,C08628
CID000275196,C09592
CID000330573,C11395
CID000348154,C10447
CID000351795,C02938
CID000369312,C02452
CID000387316,C05465
CID000398937,C12162
CID000439153,C00004
CID000439155,C00021
CID000439160,C00085
CID000439162,C00093
CID000439163,C00095
CID000439167,C00117
CID000439168,C00118
CID000439174,C00140
CID000439175,C00143
CID000439176,C00170
CID000439178,C00185
CID000439183,C00197
CID000439184,C00199
CID000439186,C00208
CID000439190,C00231
CID000439191,C00236
CID000439192,C00247
CID000439193,C00252
CID000439194,C00258
CID000439195,C00259
CID000439197,C00270
CID000439203,C00309
CID000439204,C00310
CID000439205,C00312
CID000439213,C00329
CID000439215,C00333
CID000439216,C00337
CID000439220,C00361
CID000439227,C00408
CID000439231,C00424
CID000439232,C00437
CID000439233,C00439
CID000439235,C00441
CID000439236,C00620
CID000439237,C00445
CID000439240,C00476
CID000439242,C00492
CID000439244,C00501
CID000439245,C00508
CID000439249,C00513
CID000439250,C00521
CID000439251,C00522
CID000439255,C00532
CID000439258,C02291
CID000439260,C00547
CID000439264,C00558
CID000439269,C00603
CID000439273,C00618
CID000439276,C00623
CID000439278,C00631
CID000439279,C00636
CID000439280,C00643
CID000439281,C00645
CID000439283,C00666
CID000439284,C00668
CID000439285,C00670
CID000439286,C00671
CID000439288,C00673
CID000439290,C00679
CID000439292,C11907
CID000439294,C00691
CID000439294,C17577
CID000439296,C00700
CID000439303,C00748
CID000439312,C00795
CID000439314,C00810
CID000439315,C00817
CID000439316,C00822
CID000439319,C00826
CID000439322,C00831
CID000439343,C00905
CID000439350,C00937
CID000439351,C00944
CID000439357,C00984
CID000439373,C01040
CID000439375,C01043
CID000439376,C01045
CID000439377,C01046
CID000439383,C01056
CID000439389,C01077
CID000439394,C01094
CID000439399,C01101
CID000439402,C01110
CID000439406,C01118
CID000439408,C01121
CID000439415,C01137
CID000439423,C01164
CID000439424,C01168
CID000439427,C01172
CID000439430,C01186
CID000439432,C05385
CID000439434,C03284
CID000439436,C01210
CID000439440,C01214
CID000439440,C17578
CID000439444,C01220
CID000439446,C01222
CID000439450,C01228
CID000439452,C01236
CID000439455,C01243
CID000439456,C01245
CID000439459,C01251
CID000439460,C01259
CID000439463,C01269
CID000439464,C01270
CID000439467,C01283
CID000439468,C01284
CID000439468,C15990
CID000439476,C01297
CID000439479,C01301
CID000439488,C01344
CID000439498,C01419
CID000439503,C01451
CID000439507,C01487
CID000439508,C01508
CID000439514,C01527
CID000439531,C01613
CID000439536,C01623
CID000439544,C01674
CID000439545,C01720
CID000439555,C01725
CID000439572,C01788
CID000439577,C01802
CID000439583,C01825
CID000439616,C01984
CID000439620,C01990
CID000439645,C02076
CID000439653,C02105
CID000439659,C02123
CID000439664,C02139
CID000439681,C02225
CID000439692,C02266
CID000439694,C02273
CID000439695,C02280
CID000439700,C02295
CID000439709,C02336
CID000439711,C02344
CID000439713,C02348
CID000439714,C02350
CID000439716,C02362
CID000439723,C02426
CID000439743,C02513
CID000439744,C02515
CID000439750,C03145
CID000439762,C02591
CID000439766,C02612
CID000439774,C02637
CID000439781,C02669
CID000439788,C02700
CID000439791,C02723
CID000439811,C02798
CID000439833,C02880
CID000439853,C02934
CID000439874,C02995
CID000439874,C05737
CID000439886,C03043
CID000439904,C03089
CID000439905,C03090
CID000439912,C03117
CID000439924,C03150
CID000439939,C03196
CID000439945,C03217
CID000439954,C03239
CID000439963,C03273
CID000439968,C03296
CID000440000,C03409
CID000440001,C03410
CID000440014,C03440
CID000440018,C03451
CID000440020,C03458
CID000440033,C03508
CID000440035,C03516
CID000440041,C03539
CID000440043,C03546
CID000440046,C03564
CID000440064,C03618
CID000440077,C03656
CID000440098,C03733
CID000440104,C03742
CID000440113,C03765
CID000440114,C03772
CID000440117,C03785
CID000440120,C03793
CID000440143,C03852
CID000440162,C03912
CID000440179,C03972
CID000440189,C03997
CID000440194,C04006
CID000440211,C04063
CID000440217,C04079
CID000440236,C04133
CID000440237,C04137
CID000440294,C04314
CID000440303,C04349
CID000440304,C04352
CID000440311,C04368
CID000440314,C04377
CID000440349,C04462
CID000440364,C04501
CID000440368,C04518
CID000440371,C04525
CID000440376,C04534
CID000440377,C04536
CID000440384,C04554
CID000440385,C04559
CID000440388,C04563
CID000440390,C04575
CID000440399,C04592
CID000440431,C04666
CID000440460,C04722
CID000440470,C06118
CID000440474,C04773
CID000440483,C04793
CID000440558,C05107
CID000440559,C05108
CID000440560,C05109
CID000440568,C05125
CID000440573,C05138
CID000440575,C05147
CID000440583,C05175
CID000440584,C05176
CID000440586,C05178
CID000440623,C05298
CID000440624,C05299
CID000440625,C05300
CID000440641,C05345
CID000440649,C05381
CID000440654,C05396
CID000440658,C05402
CID000440667,C05422
CID000440670,C05439
CID000440694,C05473
CID000440707,C05488
CID000440708,C05489
CID000440709,C05497
CID000440717,C05528
CID000440721,C05552
CID000440722,C05556
CID000440723,C05557
CID000440726,C05572
CID000440728,C05579
CID000440729,C05583
CID000440741,C05645
CID000440752,C05663
CID000440752,C08480
CID000440756,C05678
CID000440764,C05703
CID000440773,C05731
CID000440775,C05766
CID000440776,C05768
CID000440810,C05843
CID000440840,C05922
CID000440843,C05927
CID000440847,C05931
CID000440848,C05932
CID000440850,C05936
CID000440854,C05947
CID000440863,C05983
CID000440867,C05993
CID000440873,C06001
CID000440901,C06055
CID000440917,C06099
CID000440918,C06102
CID000440927,C06160
CID000440932,C06178
CID000440936,C06186
CID000440938,C06188
CID000440940,C06192
CID000440946,C06215
CID000440961,C06240
CID000440962,C06241
CID000440969,C06311
CID000440983,C06336
CID000440985,C06341
CID000440996,C00357
CID000440997,C00352
CID000441005,C06394
CID000441021,C06442
CID000441066,C06516
CID000441069,C06520
CID000441084,C06566
CID000441096,C11908
CID000441109,C11916
CID000441110,C11911
CID000441128,C06664
CID000441133,C06669
CID000441164,C06762
CID000441201,C06892
CID000441202,C06893
CID000441209,C06986
CID000441257,C07304
CID000441259,C07307
CID000441302,C07635
CID000441328,C07756
CID000441449,C08285
CID000441455,C05699
CID000441467,C08334
CID000441593,C08527
CID000441696,C02614
CID000442163,C03541
CID000442163,C09332
CID000442330,C09593
CID000442393,C09723
CID000442495,C09893
CID000443135,C11348
CID000443142,C11355
CID000443154,C11376
CID000443158,C11388
CID000443178,C11409
CID000443201,C11437
CID000443210,C00842
CID000443211,C00688
CID000443212,C11455
CID000443233,C11499
CID000443237,C11508
CID000443242,C11516
CID000443243,C11521
CID000443250,C11537
CID000443266,C11555
CID000443421,C11816
CID000443429,C11831
CID000443628,C12109
CID000443629,C12112
CID000443709,C12212
CID000443710,C12213
CID000443736,C12248
CID000443765,C12325
CID000443848,C12454
CID000443849,C12455
CID000443861,C12477
CID000444150,C03506
CID000444183,C01233
CID000444212,C02341
CID000444266,C01384
CID000444331,C05924
CID000444485,C00882
CID000444493,C00024
CID000444539,C00423
CID000444539,C10438
CID000444679,C01694
CID000444795,C00777
CID000444899,C00219
CID000444972,C00122
CID000445049,C00427
CID000445070,C01126
CID000445070,C01493
CID000445070,C06081
CID000445127,C00356
CID000445344,C01944
CID000445354,C00473
CID000445354,C17276
CID000445580,C06429
CID000445638,C08362
CID000445639,C00712
CID000445639,C18601
CID000445675,C00043
CID000445713,C00448
CID000445794,C00301
CID000445805,C12014
CID000445858,C01494
CID000445995,C00341
CID000445995,C05847
CID000446013,C01352
CID000446220,C01416
CID000446284,C06428
CID000446357,C15996
CID000446570,C15666
CID000446798,C15492
CID000446834,C05619
CID000447123,C14180
CID000447145,C03794
CID000447152,C00976
CID000447277,C00353
CID000447765,C01769
CID000448209,C00128
CID000448348,C01080
CID000448457,C00696
CID000448839,C05926
CID000449043,C01170
CID000449093,C00371
CID000449118,C05270
CID000449171,C15493
CID000449304,C03393
CID000449459,C05011
CID000449517,C02090
CID000449534,C01213
CID000449538,C00692
CID000479503,C17412
CID000493570,C00255
CID000579061,C19631
CID000597195,C19872
CID000637511,C00903
CID000637540,C01772
CID000637541,C12621
CID000637542,C00811
CID000637563,C10428
CID000637566,C01500
CID000637775,C00482
CID000637776,C10478
CID000638011,C01499
CID000638015,C00376
CID000638024,C03882
CID000638072,C00751
CID000638129,C01732
CID000638186,C06791
CID000641301,C05608
CID000643327,C05607
CID000643757,C00417
CID000643794,C06615
CID000643798,C02226
CID000643820,C09871
CID000643833,C06792
CID000643941,C16310
CID000643975,C00016
CID000643976,C00061
CID000644020,C10783
CID000644066,C00083
CID000644066,C03188
CID000644101,C16688
CID000644109,C00154
CID000644110,C05412
CID000644260,C01120
CID000656496,C02004
CID000656497,C02153
CID000656506,C05837
CID000656516,C08325
CID000656524,C08401
CID000656534,C08407
CID000656538,C08409
CID000656567,C08426
CID000667490,C01756
CID000667490,C02380
CID000683563,C16281
CID000688084,C05588
CID000688100,C05589
CID000688597,C15545
CID000689043,C01197
CID000689043,C01481
CID000736715,C00785
CID000853433,C10469
CID001549095,C00590
CID001549097,C00606
CID001751483,C20254
CID001794426,C00852
CID002723601,C07648
CID002724360,C16753
CID002724505,C17235
CID002733525,C07108
CID003001028,C02538
CID003015693,C16572
CID003031829,C16657
CID003032417,C16613
CID003032849,C16741
CID003033895,C16545
CID003034391,C04646
CID003034646,C16619
CID003035456,C06473
CID003036580,C16544
CID003036760,C14840
CID003036914,C14869
CID003036931,C00630
CID003037042,C05570
CID003037582,C00879
CID003080558,C18041
CID003080603,C05452
CID003080609,C15809
CID003080625,C04225
CID003081084,C17335
CID003081085,C17337
CID003081383,C00527
CID003081384,C16618
CID003081439,C02041
CID003081544,C01555
CID003081958,C17339
CID003081970,C00827
CID003082032,C00798
CID003082089,C05444
CID003082140,C01063
CID003082152,C05269
CID003082227,C16529
CID003086191,C00734
CID003086191,C06023
CID003246006,C00514
CID003246323,C12147
CID003295299,C03719
CID003505109,C02235
CID003731686,C16655
CID004369587,C06452
CID004660280,C18315
CID005275507,C16502
CID005275508,C16503
CID005275520,C16461
CID005280335,C00319
CID005280343,C00389
CID005280344,C00390
CID005280346,C00399
CID005280352,C00486
CID005280353,C00500
CID005280360,C00584
CID005280361,C00596
CID005280362,C00616
CID005280363,C00639
CID005280366,C00682
CID005280372,C00761
CID005280374,C00828
CID005280382,C00899
CID005280383,C00909
CID005280385,C00933
CID005280389,C00961
CID005280393,C01036
CID005280398,C01061
CID005280411,C01226
CID005280413,C01230
CID005280417,C01265
CID005280427,C01312
CID005280441,C01460
CID005280442,C01470
CID005280443,C01477
CID005280445,C01514
CID005280450,C01595
CID005280451,C01596
CID005280453,C01673
CID005280458,C01747
CID005280459,C01750
CID005280460,C01752
CID005280473,C01967
CID005280483,C02059
CID005280489,C02094
CID005280490,C02110
CID005280492,C02165
CID005280493,C02166
CID005280494,C02167
CID005280497,C02198
CID005280500,C02222
CID005280507,C02325
CID005280516,C02463
CID005280523,C02504
CID005280531,C02588
CID005280535,C02646
CID005280536,C02666
CID005280555,C02947
CID005280581,C03242
CID005280585,C03313
CID005280589,C15546
CID005280595,C03453
CID005280598,C03461
CID005280598,C16501
CID005280613,C03640
CID005280625,C03824
CID005280637,C03951
CID005280644,C04056
CID005280650,C04145
CID005280651,C04146
CID005280666,C04293
CID005280673,C04409
CID005280679,C04434
CID005280681,C04443
CID005280682,C04444
CID005280688,C04484
CID005280691,C04498
CID005280700,C04574
CID005280701,C04577
CID005280709,C04642
CID005280720,C04717
CID005280724,C04742
CID005280729,C04780
CID005280733,C04805
CID005280745,C04853
CID005280746,C04858
CID005280760,C05200
CID005280776,C05313
CID005280778,C05356
CID005280793,C05441
CID005280794,C05442
CID005280795,C05443
CID005280801,C05600
CID005280802,C05610
CID005280804,C05623
CID005280805,C05625
CID005280816,C05786
CID005280817,C05787
CID005280818,C05793
CID005280819,C05794
CID005280826,C05803
CID005280827,C05804
CID005280828,C05805
CID005280829,C05807
CID005280831,C05809
CID005280832,C05810
CID005280834,C05812
CID005280835,C05813
CID005280836,C05814
CID005280837,C05815
CID005280839,C05819
CID005280845,C05849
CID005280863,C05903
CID005280865,C05913
CID005280876,C05949
CID005280877,C05950
CID005280878,C05951
CID005280879,C05952
CID005280880,C05953
CID005280881,C05954
CID005280883,C05956
CID005280884,C05957
CID005280885,C05958
CID005280886,C05959
CID005280888,C05961
CID005280889,C05962
CID005280890,C05963
CID005280892,C05965
CID005280893,C05966
CID005280906,C06176
CID005280911,C06203
CID005280914,C06314
CID005280915,C06315
CID005280930,C06407
CID005280933,C06426
CID005280934,C06427
CID005280981,C06675
CID005281116,C08316
CID005281120,C08323
CID005281128,C08368
CID005281128,C14826
CID005281166,C08491
CID005281167,C08492
CID005281326,C08821
CID005281327,C08813
CID005281426,C09315
CID005281517,C09666
CID005281519,C09672
CID005281520,C09684
CID005281523,C09694
CID005281666,C10098
CID005281672,C10107
CID005281792,C01850
CID005281796,C10497
CID005281871,C10945
CID005281877,C11061
CID005281929,C11512
CID005281953,C11620
CID005281957,C11630
CID005281994,C11942
CID005282094,C12204
CID005282095,C12205
CID005282096,C12206
CID005282102,C12249
CID005282146,C12623
CID005282150,C12627
CID005282152,C12630
CID005282154,C12633
CID005282155,C12634
CID005282263,C13809
CID005282350,C14156
CID005282768,C16526
CID005282922,C19623
CID005283028,C16308
CID005283146,C14774
CID005283147,C14775
CID005283154,C14776
CID005283155,C14777
CID005283156,C14822
CID005283157,C14748
CID005283159,C14732
CID005283162,C14807
CID005283163,C14824
CID005283168,C14780
CID005283170,C04822
CID005283202,C14768
CID005283203,C14769
CID005283204,C14770
CID005283205,C14771
CID005283208,C14809
CID005283209,C14810
CID005283210,C14811
CID005283211,C14808
CID005283544,C17568
CID005283546,C17569
CID005283560,C06124
CID005283731,C01561
CID005283820,C15517
CID005283821,C15515
CID005283827,C17664
CID005283831,C17646
CID005283845,C17650
CID005283851,C17727
CID005283852,C17647
CID005283853,C17726
CID005283882,C17668
CID005283886,C17667
CID005283892,C17657
CID005284270,C05451
CID005284271,C05453
CID005284371,C06174
CID005287432,C05817
CID005287787,C01205
CID005288826,C01516
CID005289090,C16683
CID005311211,C14717
CID005312508,C16300
CID005312529,C16522
CID005312830,C14767
CID005312889,C16309
CID005316673,C16911
CID005316860,C01533
CID005323510,C18021
CID005324289,C06173
CID005326566,C01727
CID005326875,C05921
CID005360621,C16578
CID005363137,C16680
CID005363388,C19757
CID005371769,C02937
CID005380876,C15612
CID005408233,C05179
CID005459784,C04593
CID005459802,C01693
CID005459811,C01054
CID005459812,C05662
CID005459823,C01735
CID005459829,C03455
CID005459849,C00545
CID005459910,C06171
CID005459948,C01848
CID005459988,C01934
CID005460020,C05777
CID005460041,C05445
CID005460042,C05220
CID005460049,C04053
CID005460056,C00502
CID005460143,C01739
CID005460143,C17354
CID005460171,C02977
CID005460191,C01218
CID005460331,C04832
CID005460407,C01620
CID005460412,C07354
CID005460444,C06172
CID005460448,C00672
CID005460659,C19708
CID005460671,C16138
CID005461055,C01513
CID005461146,C03423
CID005462190,C15606
CID005462210,C17432
CID005462234,C01217
CID005462235,C01274
CID005462244,C02713
CID005462261,C04411
CID005462266,C04640
CID005462303,C06002
CID005462306,C06175
CID005462314,C06457
CID005462508,C11785
CID005483640,C01041
CID005484731,C16643
CID005489029,C16577
CID005496796,C01212
CID005497111,C00510
CID005497112,C02050
CID005497113,C02249
CID005497123,C04785
CID005497143,C00877
CID005497181,C16527
CID006324616,C12044
CID006337958,C17949
CID006365330,C16829
CID006378383,C16546
CID006400657,C01941
CID006430107,C16343
CID006436082,C16681
CID006436726,C14540
CID006437063,C16678
CID006437068,C16653
CID006438372,C19691
CID006438629,C16677
CID006439848,C16525
CID006439873,C16326
CID006440013,C00223
CID006440982,C16431
CID006441679,C16320
CID006443013,C14762
CID006443760,C03345
CID006443777,C03885
CID006444037,C00540
CID006444037,C16256
CID006446027,C14765
CID006447533,C20138
CID006449797,C03428
CID006450029,C16321
CID006451493,C18040
CID006453841,C05501
CID006476390,C19835
CID006857359,C03979
CID006857362,C01721
CID006857365,C01115
CID006971042,C05411
CID007251182,C16317
CID009543026,C00894
CID009543037,C01144
CID009543049,C02411
CID009543152,C02232
CID009543169,C00512
CID009543204,C07118
CID009543219,C06676
CID009543293,C18302
CID009543294,C18303
CID009543296,C18304
CID009543331,C16268
CID009543332,C14143
CID009548587,C05651
CID009548602,C02305
CID009548877,C14827
CID009548880,C14823
CID009548884,C14778
CID009548885,C14812
CID009548886,C14820
CID009549319,C16464
CID009549320,C01920
CID009549326,C03069
CID009549328,C16470
CID009825434,C00440
CID009833951,C05823
CID009838394,C12173
CID009839084,C14766
CID009855795,C17277
CID009925873,C16576
CID009944000,C16612
CID009967418,C18038
CID010003607,C19863
CID010037499,C16635
CID010077584,C16542
CID010090750,C16547
CID010091038,C16615
CID010100825,C12247
CID010130220,C15923
CID010219885,C02061
CID010219885,C16694
CID010220406,C20264
CID010236635,C14829
CID010261389,C16390
CID010290858,C15607
CID010357552,C20121
CID010364451,C16999
CID010403174,C16610
CID010522005,C16447
CID010583108,C17209
CID010894570,C15780
CID010895555,C19829
CID010902296,C17561
CID010918995,C00325
CID010946654,C17562
CID010953718,C19081
CID011006912,C01050
CID011020241,C00072
CID011052747,C16028
CID011073781,C17622
CID011094749,C14787
CID011132720,C16689
CID011132720,C19760
CID011241545,C19746
CID011298145,C17213
CID011426583,C04257
CID011561034,C16430
CID011706915,C04579
CID011727586,C01235
CID011756356,C16543
CID011953794,C01138
CID011953815,C02887
CID011953856,C05773
CID011953875,C05912
CID011953882,C06504
CID011953957,C11545
CID011954010,C13309
CID011954011,C13425
CID011954042,C14781
CID011954043,C14782
CID011954051,C14800
CID011954053,C14802
CID011954059,C14814
CID011954069,C14856
CID011954070,C14861
CID011954072,C14863
CID011954073,C14865
CID011954196,C15518
CID011954197,C15520
CID011966110,C03221
CID011966111,C00683
CID011966119,C02331
CID011966120,C00411
CID011966122,C00888
CID011966123,C00313
CID011966124,C02593
CID011966125,C00531
CID011966126,C00323
CID011966128,C05231
CID011966129,C00406
CID011966132,C03035
CID011966145,C04348
CID011966146,C03561
CID011966155,C05265
CID011966158,C05264
CID011966160,C05268
CID011966162,C05267
CID011966163,C06000
CID011966165,C05280
CID011966166,C06028
CID011966169,C05263
CID011966171,C05668
CID011966172,C05273
CID011966173,C05262
CID011966175,C05276
CID011966177,C05260
CID011966179,C05258
CID011966188,C05998
CID011966190,C03595
CID011966192,C11062
CID011966194,C05279
CID011966197,C05261
CID011966204,C05271
CID011966205,C05337
CID011966206,C03058
CID011966216,C05266
CID011966220,C04405
CID011966267,C04281
CID011966300,C09817
CID011988266,C04188
CID011988267,C02741
CID011988279,C15785
CID012011795,C16432
CID012302184,C20195
CID012308755,C20251
CID012313974,C19918
CID012463319,C20239
CID013103864,C16604
CID013344694,C20248
CID013850222,C18134
CID013935024,C16449
CID013939876,C16495
CID014017685,C16494
CID014080393,C01007
CID014178745,C17935
CID014355861,C12142
CID014427002,C03598
CID014556929,C05427
CID014647097,C17952
CID014777879,C18069
CID015081546,C16509
CID015241070,C18070
CID015519422,C12321
CID015558498,C16756
CID015608168,C18348
CID015719509,C15672
CID015775275,C16541
CID015940185,C05080
CID015940185,C12609
CID015942885,C16493
CID015942888,C17343
CID015942889,C15613
CID016048618,C05401
CID016061034,C16344
CID016061072,C16316
CID016061579,C18239
CID016069659,C04573
CID016667385,C16143
CID016757114,C04268
CID017756767,C16155
CID017756769,C16153
CID017796835,C17938
CID020802017,C16674
CID020832874,C20444
CID021122601,C00862
CID021145112,C05499
CID021350391,C16587
CID021587070,C17560
CID021596453,C20445
CID021896400,C20345
CID022266650,C17221
CID022833608,C01355
CID023615403,C03291
CID023657843,C18098
CID023724458,C00052
CID023724459,C00190
CID023724461,C00203
CID023724466,C00935
CID023724469,C02199
CID023724475,C04089
CID023724484,C05103
CID023724514,C11539
CID023724516,C11540
CID023724518,C12210
CID023724544,C15700
CID023724571,C15777
CID023724575,C15783
CID023724579,C15787
CID023724581,C15789
CID023724582,C15790
CID023724583,C15791
CID023724584,C15792
CID023724585,C15793
CID023724586,C15794
CID023724590,C15798
CID023724591,C15799
CID023724592,C15800
CID023724593,C15801
CID023724594,C15802
CID023724596,C15808
CID023724597,C15816
CID023724601,C15882
CID023724602,C15883
CID023724604,C15915
CID023724606,C15925
CID023724607,C15926
CID023724672,C16238
CID023724728,C16345
CID023724748,C16424
CID023724749,C16426
CID023724755,C16448
CID023724769,C16496
CID024755534,C19745
CID024755535,C19725
CID024755558,C17345
CID024771766,C04287
CID024771808,C00450
CID024798714,C19683
CID024798720,C16698
CID024836902,C00992
CID024836902,C08230
CID024873746,C20187
CID024883423,C05275
CID024883454,C16519
CID024883456,C17210
CID024892715,C00110
CID024892716,C00194
CID024892719,C00381
CID024892720,C00470
CID024892721,C00621
CID024892725,C01246
CID024892729,C02185
CID024892729,C16693
CID024892737,C03442
CID024892738,C03599
CID024892739,C03862
CID024892770,C07277
CID024892797,C16567
CID024892812,C16654
CID025001002,C20192
CID025021177,C18307
CID025137843,C05989
CID025150860,C19947
CID025164091,C16162
CID025195379,C05467
CID025201122,C17352
CID025203496,C17212
CID025203718,C20200
CID025203873,C17327
CID025244915,C19747
CID025245127,C17754
CID025245907,C19828
CID025271599,C05272
CID025755601,C20186
CID044140569,C15547
CID044229075,C16157
CID044229078,C12203
CID044229222,C18174
CID044237185,C17570
CID044237218,C18072
CID044237280,C19819
CID044263831,C15614
CID045266867,C18802
CID045281255,C20359
CID045479615,C02091
CID045480622,C19153
CID046173085,C20249
CID046173135,C20253
CID046173191,C18071
CID046173244,C20231
CID046173703,C00394
CID046173705,C00541
CID046173705,C00853
CID046173710,C00973
CID046173741,C05291
CID046173745,C05774
CID046173785,C11538
CID046173788,C11912
CID046173796,C12176
CID046173804,C15522
CID046173877,C17254
CID046173938,C17551
CID046173940,C17554
CID046173948,C17582
CID046173984,C17733
CID046173985,C17735
CID046174034,C18022
CID046174047,C18094
CID046174065,C18172
CID046224536,C05448
CID046224539,C05449
CID046224544,C05460
CID046906047,C18163
CID046926111,C19945
CID046926144,C20453
CID046926226,C19975
CID046942369,C20247
CID049787000,C05690
CID049787007,C06185
CID049852422,C18026
CID049859611,C18911
CID049859699,C00566
CID050986116,C17346
CID051055215,C20277
CID053297335,C04628
CID053297338,C05122
CID053297366,C15781
CID053297369,C18161
CID053297413,C18871
CID053297444,C19589
CID053356704,C19848
CID054588960,C20357
CID054675756,C02501
CID054675768,C05073
CID054678503,C00975
CID054691343,C12468
CID054691348,C12474
CID054693777,C16152
CID054706138,C12032
CID054723871,C15986
CID054731235,C18345
CID056927715,C19960
CID056927728,C20191
CID056927739,C20082
CID056927810,C20193
CID056927904,C16165
CID056927909,C16168
CID056927910,C16170
CID056927911,C16172
CID056927946,C20156
CID056928001,C16163
CID056928006,C16167
CID056928012,C16166
CID056928013,C16164
CID056928014,C16171
CID056928068,C05172
CID056928117,C19755
CID056928122,C19820
CID056928123,C19832
CID056928129,C19874
CID057339263,C20381
CID070678705,C16169
CID070698354,C20466
CID071448889,C01794
CID071448890,C01894
CID071448891,C03160
CID071448892,C03231
CID071448894,C05447
CID071448895,C06027
CID071448900,C12324
CID071448903,C15980
CID071448924,C16530
CID071448968,C18323
CID071448969,C18324
