ENSP,ID
ENSP00000002165,3.2.1.51
ENSP00000002596,2.8.2.23
ENSP00000010404,2.5.1.18
ENSP00000013034,2.7.4.6
ENSP00000013222,2.1.1.49
ENSP00000013222,2.1.1.96
ENSP00000017003,2.4.2.26
ENSP00000029410,2.4.1.133
ENSP00000035307,2.4.1.226
ENSP00000040663,5.3.1.23
ENSP00000074304,3.1.3.66
ENSP00000156626,2.4.3.3
ENSP00000164139,2.4.1.1
ENSP00000166534,1.14.11.2
ENSP00000168216,1.1.1.35
ENSP00000168216,1.1.1.53
ENSP00000168216,1.1.1.62
ENSP00000168216,1.1.1.159
ENSP00000168216,1.1.1.178
ENSP00000168216,1.1.1.239
ENSP00000168977,2.7.1.22
ENSP00000168977,2.7.1.173
ENSP00000169298,2.4.3.1
ENSP00000175506,6.3.5.4
ENSP00000178638,4.2.1.1
ENSP00000179259,3.1.3.46
ENSP00000180173,3.1.3.64
ENSP00000182377,1.2.1.84
ENSP00000196061,1.14.11.4
ENSP00000196371,2.8.3.5
ENSP00000198801,2.3.1.22
ENSP00000199936,1.1.1.62
ENSP00000199936,1.1.1.239
ENSP00000201586,2.8.2.2
ENSP00000205402,1.8.1.4
ENSP00000207870,2.7.1.17
ENSP00000209668,1.1.1.1
ENSP00000210444,2.5.1.56
ENSP00000210444,2.5.1.57
ENSP00000211122,2.5.1.18
ENSP00000215567,1.3.1.93
ENSP00000215885,3.1.1.4
ENSP00000215904,3.1.3.16
ENSP00000215904,3.1.3.74
ENSP00000216075,1.13.99.1
ENSP00000216117,1.14.14.18
ENSP00000216180,2.3.1.51
ENSP00000216180,3.1.1.3
ENSP00000216180,3.1.1.4
ENSP00000216254,4.2.1.3
ENSP00000216259,5.4.2.8
ENSP00000216264,2.7.1.138
ENSP00000216271,3.5.1.48
ENSP00000216271,3.5.1.62
ENSP00000216392,2.4.1.1
ENSP00000216410,2.3.1.4
ENSP00000216484,2.3.1.50
ENSP00000216780,4.1.1.32
ENSP00000216862,1.14.15.16
ENSP00000216962,2.4.1.1
ENSP00000217426,3.13.2.1
ENSP00000217455,3.1.2.1
ENSP00000217455,3.1.2.2
ENSP00000217455,3.1.2.3
ENSP00000217455,3.1.2.5
ENSP00000217455,3.1.2.11
ENSP00000217455,3.1.2.27
ENSP00000218006,4.6.1.2
ENSP00000218516,3.2.1.22
ENSP00000218758,3.1.3.2
ENSP00000219054,6.2.1.2
ENSP00000219054,6.2.1.25
ENSP00000219240,1.3.5.2
ENSP00000219302,2.7.4.6
ENSP00000219334,3.1.4.12
ENSP00000219479,2.7.4.6
ENSP00000219700,1.14.14.18
ENSP00000219789,2.7.8.11
ENSP00000220244,3.2.1.35
ENSP00000220562,2.4.1.223
ENSP00000220584,2.5.1.21
ENSP00000221130,1.8.1.7
ENSP00000221307,1.14.14.1
ENSP00000221307,1.14.14.79
ENSP00000221307,1.14.14.94
ENSP00000221403,1.1.1.179
ENSP00000221403,1.3.1.20
ENSP00000221476,2.7.3.2
ENSP00000221700,1.14.14.1
ENSP00000221700,1.14.14.78
ENSP00000221700,1.14.14.79
ENSP00000221700,1.14.14.94
ENSP00000221730,3.3.2.10
ENSP00000222002,2.8.2.2
ENSP00000222002,2.8.2.14
ENSP00000222214,1.3.8.6
ENSP00000222286,1.2.1.12
ENSP00000222381,3.1.1.2
ENSP00000222381,3.1.1.81
ENSP00000222381,3.1.8.1
ENSP00000222382,1.14.14.1
ENSP00000222553,2.4.2.12
ENSP00000222572,3.1.1.2
ENSP00000222572,3.1.1.81
ENSP00000222673,1.2.4.2
ENSP00000222725,2.4.1.222
ENSP00000222982,1.14.14.1
ENSP00000223026,3.2.1.35
ENSP00000223114,2.3.1.20
ENSP00000223114,2.3.1.22
ENSP00000223122,2.4.1.122
ENSP00000223127,1.14.11.4
ENSP00000223127,2.4.1.50
ENSP00000223127,2.4.1.66
ENSP00000223366,2.7.1.1
ENSP00000225276,2.4.3.3
ENSP00000225371,1.11.1.7
ENSP00000225573,1.4.3.5
ENSP00000225609,3.5.1.89
ENSP00000225614,2.7.1.6
ENSP00000225740,1.2.1.5
ENSP00000226253,4.1.2.13
ENSP00000226279,2.4.99.20
ENSP00000226279,3.2.2.6
ENSP00000226299,3.4.11.1
ENSP00000226299,3.4.11.5
ENSP00000226299,3.4.13.23
ENSP00000226444,2.8.2.4
ENSP00000226840,2.6.1.4
ENSP00000226840,2.6.1.7
ENSP00000226840,2.6.1.39
ENSP00000226840,2.6.1.63
ENSP00000226840,2.6.1.73
ENSP00000227495,2.4.3.2
ENSP00000227495,2.4.3.4
ENSP00000227495,2.4.3.6
ENSP00000227756,2.4.1.41
ENSP00000228027,2.3.1.20
ENSP00000228027,2.3.1.76
ENSP00000228476,1.4.3.3
ENSP00000228510,2.7.1.36
ENSP00000228606,1.14.15.18
ENSP00000228740,3.3.2.6
ENSP00000228740,3.4.11.4
ENSP00000229266,2.7.8.2
ENSP00000229277,4.2.1.11
ENSP00000229319,1.1.1.27
ENSP00000229329,2.7.7.43
ENSP00000230036,3.1.4.50
ENSP00000230053,2.4.1.135
ENSP00000230792,3.6.1.22
ENSP00000231420,2.6.1.40
ENSP00000231420,2.6.1.44
ENSP00000231887,1.1.1.35
ENSP00000231887,4.2.1.17
ENSP00000231887,5.3.3.8
ENSP00000232375,2.7.1.105
ENSP00000232375,3.1.3.46
ENSP00000232607,2.4.2.10
ENSP00000232607,4.1.1.23
ENSP00000232892,3.1.1.3
ENSP00000233627,7.1.1.2
ENSP00000233710,1.3.8.8
ENSP00000233714,2.5.1.18
ENSP00000233838,4.1.1.90
ENSP00000233840,3.2.1.18
ENSP00000234111,4.1.1.17
ENSP00000234454,1.1.1.153
ENSP00000234590,4.2.1.11
ENSP00000235628,3.1.3.5
ENSP00000235628,3.1.3.89
ENSP00000235628,3.1.3.99
ENSP00000236959,2.1.2.3
ENSP00000236959,3.5.4.10
ENSP00000238618,3.6.1.7
ENSP00000238651,3.1.2.2
ENSP00000239231,2.7.1.33
ENSP00000239891,2.4.1.117
ENSP00000241052,1.11.1.6
ENSP00000241337,2.5.1.18
ENSP00000242375,1.3.1.3
ENSP00000242592,1.3.8.1
ENSP00000243052,3.1.4.17
ENSP00000243501,3.1.1.4
ENSP00000243776,2.4.1.175
ENSP00000243776,2.4.1.226
ENSP00000244007,3.1.4.11
ENSP00000244043,4.2.1.152
ENSP00000244043,5.3.99.4
ENSP00000244217,5.1.99.1
ENSP00000245206,2.6.1.1
ENSP00000245206,2.6.1.7
ENSP00000245222,2.7.1.91
ENSP00000246166,2.5.1.58
ENSP00000246337,4.1.1.37
ENSP00000247194,4.2.1.77
ENSP00000247933,3.2.1.76
ENSP00000248041,1.14.14.1
ENSP00000248041,1.14.14.78
ENSP00000248041,1.14.14.79
ENSP00000248041,1.14.14.80
ENSP00000249005,2.4.1.228
ENSP00000249042,2.8.1.1
ENSP00000249750,1.2.1.36
ENSP00000250018,1.14.16.4
ENSP00000250535,1.13.11.20
ENSP00000250615,2.3.1.87
ENSP00000250974,3.1.2.22
ENSP00000251363,2.3.1.24
ENSP00000251535,1.13.11.31
ENSP00000251535,1.13.11.33
ENSP00000251566,2.4.1.17
ENSP00000251810,1.17.4.1
ENSP00000252029,2.4.2.4
ENSP00000252318,2.4.1.41
ENSP00000252599,2.4.1.50
ENSP00000252675,2.4.1.65
ENSP00000252675,2.4.1.152
ENSP00000252945,1.14.13.n7
ENSP00000252945,1.14.14.1
ENSP00000253004,6.3.4.5
ENSP00000253778,2.6.1.16
ENSP00000253792,2.3.3.8
ENSP00000253799,1.4.3.21
ENSP00000253801,3.1.3.9
ENSP00000254035,2.7.3.2
ENSP00000254090,1.6.3.1
ENSP00000254090,1.14.13.8
ENSP00000254190,2.4.1.175
ENSP00000254190,2.4.1.226
ENSP00000254235,4.6.1.1
ENSP00000254521,1.1.1.62
ENSP00000254521,1.1.1.210
ENSP00000254521,1.1.1.270
ENSP00000254663,4.4.1.16
ENSP00000254759,2.1.1.64
ENSP00000254759,2.1.1.114
ENSP00000254854,4.6.1.2
ENSP00000254908,4.2.1.96
ENSP00000255084,1.2.1.3
ENSP00000255189,1.5.8.4
ENSP00000255192,2.1.1.10
ENSP00000255266,3.1.4.35
ENSP00000255389,2.1.1.17
ENSP00000255389,2.1.1.71
ENSP00000255688,3.1.1.4
ENSP00000255688,3.1.1.32
ENSP00000256593,2.5.1.18
ENSP00000256594,2.5.1.18
ENSP00000256720,3.1.3.4
ENSP00000256722,2.7.4.6
ENSP00000256722,2.7.4.14
ENSP00000256997,3.1.3.2
ENSP00000256999,3.4.17.21
ENSP00000257549,4.3.1.17
ENSP00000257549,4.3.1.19
ENSP00000257694,3.1.1.5
ENSP00000257770,3.1.3.5
ENSP00000257770,3.1.3.35
ENSP00000257770,3.1.3.89
ENSP00000257770,3.1.3.91
ENSP00000257770,3.1.3.99
ENSP00000258052,3.1.4.12
ENSP00000258168,1.13.11.63
ENSP00000258415,1.14.15.15
ENSP00000258662,3.6.1.9
ENSP00000258711,2.8.2.5
ENSP00000258873,6.2.1.3
ENSP00000258874,6.3.3.2
ENSP00000258884,3.1.2.22
ENSP00000259056,2.4.1.41
ENSP00000259271,4.1.1.15
ENSP00000259407,2.3.1.65
ENSP00000259407,3.1.2.2
ENSP00000259407,3.1.2.27
ENSP00000259486,3.1.4.39
ENSP00000259727,1.7.1.7
ENSP00000260386,2.7.1.127
ENSP00000260402,3.1.4.11
ENSP00000260508,2.6.1.7
ENSP00000260508,2.6.1.63
ENSP00000260508,4.4.1.13
ENSP00000260585,2.7.8.1
ENSP00000260600,4.6.1.1
ENSP00000260682,1.14.14.1
ENSP00000260682,1.14.14.51
ENSP00000260682,1.14.14.52
ENSP00000260682,1.14.14.53
ENSP00000260985,1.1.1.42
ENSP00000261170,4.6.1.2
ENSP00000261195,2.4.1.11
ENSP00000261208,4.3.1.3
ENSP00000261292,3.1.1.3
ENSP00000261292,3.1.1.32
ENSP00000261296,4.2.1.46
ENSP00000261304,3.2.1.46
ENSP00000261326,2.8.1.9
ENSP00000261374,2.8.2.29
ENSP00000261381,2.4.2.26
ENSP00000261407,2.3.1.23
ENSP00000261407,2.3.1.n6
ENSP00000261407,2.3.1.n7
ENSP00000261416,3.2.1.52
ENSP00000261483,3.2.1.114
ENSP00000261507,1.14.18.9
ENSP00000261534,2.4.1.109
ENSP00000261596,3.1.3.4
ENSP00000261643,2.5.1.141
ENSP00000261733,1.2.1.3
ENSP00000261755,3.7.1.2
ENSP00000261783,3.5.3.1
ENSP00000261875,4.2.1.134
ENSP00000262027,6.1.1.10
ENSP00000262030,7.1.2.2
ENSP00000262033,5.3.99.3
ENSP00000262039,2.7.1.137
ENSP00000262134,2.3.1.23
ENSP00000262134,2.3.1.25
ENSP00000262134,2.3.1.51
ENSP00000262134,2.3.1.67
ENSP00000262290,1.11.1.7
ENSP00000262340,3.1.1.64
ENSP00000262340,5.3.3.22
ENSP00000262374,2.4.1.142
ENSP00000262430,4.1.1.9
ENSP00000262554,2.3.1.50
ENSP00000262607,3.5.4.4
ENSP00000262623,7.2.2.19
ENSP00000262644,3.1.3.7
ENSP00000262746,1.11.1.24
ENSP00000262764,2.7.8.5
ENSP00000262890,3.1.1.47
ENSP00000262915,2.4.3.6
ENSP00000262992,3.1.3.66
ENSP00000263080,3.5.1.15
ENSP00000263088,3.1.4.4
ENSP00000263093,6.2.1.3
ENSP00000263093,6.2.1.7
ENSP00000263182,1.14.11.1
ENSP00000263321,1.14.18.1
ENSP00000263368,1.3.1.24
ENSP00000263368,1.5.1.30
ENSP00000263370,2.7.1.127
ENSP00000263556,1.14.11.2
ENSP00000263702,1.3.1.104
ENSP00000263774,7.1.1.2
ENSP00000263967,2.7.1.137
ENSP00000263967,2.7.1.153
ENSP00000263967,2.7.11.1
ENSP00000264005,2.3.1.43
ENSP00000264005,3.1.1.47
ENSP00000264027,1.14.19.20
ENSP00000264029,3.2.1.28
ENSP00000264057,2.7.1.107
ENSP00000264093,2.7.1.76
ENSP00000264093,2.7.1.113
ENSP00000264167,2.5.1.26
ENSP00000264170,3.7.1.3
ENSP00000264220,2.4.2.14
ENSP00000264228,1.3.1.22
ENSP00000264228,1.3.1.94
ENSP00000264380,2.7.1.150
ENSP00000264380,2.7.11.1
ENSP00000264382,3.2.1.10
ENSP00000264382,3.2.1.48
ENSP00000264409,2.3.1.15
ENSP00000264409,2.3.1.51
ENSP00000264424,4.6.1.2
ENSP00000264595,3.5.1.26
ENSP00000264613,1.16.3.1
ENSP00000264705,2.1.3.2
ENSP00000264705,3.5.2.3
ENSP00000264705,6.3.5.5
ENSP00000264735,3.1.1.4
ENSP00000264735,3.1.1.32
ENSP00000264775,3.1.3.4
ENSP00000264775,3.1.3.106
ENSP00000264775,3.6.1.75
ENSP00000264864,2.7.1.67
ENSP00000264914,3.1.6.12
ENSP00000264917,3.1.4.53
ENSP00000264932,1.3.5.1
ENSP00000264968,2.4.1.145
ENSP00000265000,2.4.1.41
ENSP00000265012,2.4.1.150
ENSP00000265016,3.2.2.6
ENSP00000265022,2.7.1.107
ENSP00000265174,2.7.1.25
ENSP00000265174,2.7.7.4
ENSP00000265276,2.3.1.15
ENSP00000265322,1.3.1.38
ENSP00000265382,2.7.1.68
ENSP00000265395,1.1.1.31
ENSP00000265403,2.4.1.17
ENSP00000265462,1.11.1.24
ENSP00000265471,2.4.1.135
ENSP00000265498,2.5.1.18
ENSP00000265498,4.4.1.20
ENSP00000265512,1.1.1.105
ENSP00000265523,1.3.1.24
ENSP00000265594,6.4.1.4
ENSP00000265605,1.2.1.32
ENSP00000265627,3.1.1.2
ENSP00000265627,3.1.1.81
ENSP00000265627,3.1.8.1
ENSP00000265641,2.3.1.21
ENSP00000265689,2.7.1.32
ENSP00000265689,2.7.1.82
ENSP00000265838,2.3.1.9
ENSP00000265896,1.14.14.17
ENSP00000265970,2.7.1.137
ENSP00000265970,2.7.1.153
ENSP00000265970,2.7.1.154
ENSP00000266031,3.2.1.35
ENSP00000266095,4.1.1.65
ENSP00000266383,2.4.1.244
ENSP00000266483,2.4.1.256
ENSP00000266505,3.1.4.11
ENSP00000266712,2.4.1.109
ENSP00000266736,3.5.2.7
ENSP00000266971,1.8.3.1
ENSP00000267085,4.1.1.11
ENSP00000267085,4.1.1.29
ENSP00000267436,1.1.99.2
ENSP00000267584,2.7.4.3
ENSP00000267584,2.7.4.6
ENSP00000267615,2.7.1.134
ENSP00000267615,2.7.1.159
ENSP00000267814,1.1.1.4
ENSP00000267814,1.1.1.9
ENSP00000267814,1.1.1.14
ENSP00000267814,1.1.1.56
ENSP00000267842,6.2.1.3
ENSP00000267842,6.2.1.7
ENSP00000267842,6.2.1.15
ENSP00000267842,6.2.1.24
ENSP00000267845,4.1.1.22
ENSP00000267978,3.2.1.24
ENSP00000268053,1.14.15.6
ENSP00000268097,3.2.1.52
ENSP00000268129,3.1.1.6
ENSP00000268129,3.1.1.23
ENSP00000268129,3.1.1.79
ENSP00000268251,2.6.1.19
ENSP00000268251,2.6.1.22
ENSP00000268261,5.4.2.8
ENSP00000268695,3.1.6.4
ENSP00000269097,3.1.3.9
ENSP00000269159,3.1.3.25
ENSP00000269195,2.4.1.41
ENSP00000269298,2.3.1.57
ENSP00000269582,2.1.1.28
ENSP00000269848,2.7.1.11
ENSP00000269980,1.2.4.4
ENSP00000270593,3.1.3.2
ENSP00000270776,1.1.1.44
ENSP00000271620,3.6.1.1
ENSP00000271688,2.3.1.24
ENSP00000271688,2.3.1.297
ENSP00000272065,3.1.3.2
ENSP00000272065,3.1.3.48
ENSP00000272117,2.7.1.127
ENSP00000272167,3.3.2.9
ENSP00000272252,5.1.3.3
ENSP00000272425,2.3.1.80
ENSP00000273398,7.1.2.2
ENSP00000273550,1.16.3.1
ENSP00000273588,2.1.2.10
ENSP00000273814,2.7.1.107
ENSP00000273920,3.1.3.77
ENSP00000274192,1.3.1.22
ENSP00000274278,2.4.1.17
ENSP00000274353,2.1.1.5
ENSP00000274793,3.1.1.47
ENSP00000274813,5.4.99.2
ENSP00000275016,1.14.14.26
ENSP00000275428,4.3.2.9
ENSP00000275605,3.1.3.3
ENSP00000276055,2.8.2.17
ENSP00000276651,3.5.2.2
ENSP00000277517,5.3.3.2
ENSP00000277865,1.4.1.3
ENSP00000278353,1.1.1.62
ENSP00000278353,1.1.1.330
ENSP00000278618,2.7.8.7
ENSP00000278840,1.14.19.3
ENSP00000279230,3.1.4.11
ENSP00000279263,1.3.1.70
ENSP00000280097,2.1.1.8
ENSP00000280346,2.3.1.12
ENSP00000280362,4.2.3.12
ENSP00000280605,2.2.1.1
ENSP00000280701,2.3.1.41
ENSP00000280704,1.1.1.27
ENSP00000280706,1.1.1.27
ENSP00000281243,1.5.1.34
ENSP00000281455,6.2.1.3
ENSP00000281455,6.2.1.15
ENSP00000281455,6.2.1.24
ENSP00000281923,2.4.1.155
ENSP00000282096,3.1.4.17
ENSP00000282276,6.1.1.10
ENSP00000282507,2.4.1.17
ENSP00000282538,4.1.1.11
ENSP00000282538,4.1.1.29
ENSP00000282541,1.1.1.8
ENSP00000282841,2.5.1.1
ENSP00000282841,2.5.1.10
ENSP00000282841,2.5.1.29
ENSP00000282903,1.14.11.4
ENSP00000283415,2.3.1.23
ENSP00000283415,2.3.1.25
ENSP00000283415,2.3.1.51
ENSP00000283415,2.3.1.67
ENSP00000283646,5.3.1.6
ENSP00000284061,2.7.1.107
ENSP00000284110,2.8.2.30
ENSP00000284382,2.3.1.24
ENSP00000284382,2.3.1.297
ENSP00000284382,2.3.1.298
ENSP00000285093,2.3.1.9
ENSP00000285093,2.3.1.16
ENSP00000285093,3.1.2.1
ENSP00000285093,3.1.2.2
ENSP00000285379,4.2.1.1
ENSP00000285379,4.2.1.69
ENSP00000285381,4.2.1.1
ENSP00000285518,2.3.1.51
ENSP00000285599,3.2.1.24
ENSP00000285930,1.1.1.21
ENSP00000285930,1.1.1.54
ENSP00000285930,1.1.1.300
ENSP00000285930,1.1.1.372
ENSP00000285979,1.14.14.1
ENSP00000286063,3.1.4.35
ENSP00000286063,3.1.4.53
ENSP00000286355,4.6.1.1
ENSP00000286479,2.3.1.5
ENSP00000286955,2.4.1.152
ENSP00000287713,2.7.7.1
ENSP00000287713,2.7.7.18
ENSP00000287936,1.1.1.34
ENSP00000287996,2.7.1.158
ENSP00000288014,3.6.1.28
ENSP00000288078,2.7.1.52
ENSP00000288490,2.7.1.107
ENSP00000288532,2.1.1.201
ENSP00000288988,2.4.1.41
ENSP00000289119,3.1.1.4
ENSP00000289119,3.1.1.32
ENSP00000289153,2.7.1.153
ENSP00000289153,2.7.11.1
ENSP00000289416,6.2.1.2
ENSP00000289416,6.2.1.17
ENSP00000290349,1.1.1.71
ENSP00000290349,1.1.1.184
ENSP00000290349,1.1.1.189
ENSP00000290349,1.1.1.196
ENSP00000290349,1.1.1.197
ENSP00000290354,1.1.1.184
ENSP00000290354,1.6.5.10
ENSP00000290429,2.3.1.39
ENSP00000290472,3.1.1.4
ENSP00000290573,2.7.1.1
ENSP00000290597,1.2.1.88
ENSP00000290765,2.5.1.18
ENSP00000291539,3.1.4.35
ENSP00000291565,2.7.1.35
ENSP00000291572,2.3.1.51
ENSP00000291670,2.1.2.5
ENSP00000291670,4.3.1.4
ENSP00000292147,1.13.11.18
ENSP00000292180,2.7.7.2
ENSP00000292427,1.14.15.4
ENSP00000292432,2.7.1.1
ENSP00000292596,4.4.1.20
ENSP00000292823,2.7.7.15
ENSP00000293217,1.3.3.6
ENSP00000293404,2.3.1.1
ENSP00000293761,1.13.11.12
ENSP00000293761,1.13.11.31
ENSP00000293761,1.13.11.33
ENSP00000294016,4.6.1.1
ENSP00000294064,3.2.1.18
ENSP00000294973,1.13.11.6
ENSP00000295256,2.5.1.18
ENSP00000295256,5.3.99.2
ENSP00000295266,1.2.4.1
ENSP00000295304,4.3.2.7
ENSP00000295448,3.5.99.6
ENSP00000295453,3.1.3.1
ENSP00000295463,3.1.3.1
ENSP00000295571,2.4.1.255
ENSP00000295588,2.4.1.376
ENSP00000295588,2.4.2.63
ENSP00000295770,2.4.99.18
ENSP00000295802,1.3.99.23
ENSP00000295887,2.7.7.41
ENSP00000295962,3.1.1.23
ENSP00000296412,1.1.1.1
ENSP00000296412,1.1.1.284
ENSP00000296424,1.1.1.30
ENSP00000296424,1.1.1.104
ENSP00000296486,4.2.3.2
ENSP00000296518,4.6.1.2
ENSP00000297107,2.4.1.41
ENSP00000297283,5.4.2.4
ENSP00000297283,5.4.2.11
ENSP00000297323,4.6.1.1
ENSP00000297494,1.14.13.39
ENSP00000297679,1.1.1.181
ENSP00000297785,1.2.1.3
ENSP00000297785,1.2.1.19
ENSP00000297785,1.2.1.28
ENSP00000297785,1.2.1.36
ENSP00000298198,2.7.1.106
ENSP00000298229,3.1.3.86
ENSP00000298248,1.1.1.45
ENSP00000298510,1.11.1.24
ENSP00000298545,2.7.4.3
ENSP00000298545,2.7.4.6
ENSP00000298556,2.4.2.8
ENSP00000299022,3.1.1.3
ENSP00000299022,3.1.1.5
ENSP00000299022,3.1.1.32
ENSP00000299198,2.7.3.2
ENSP00000299498,1.6.2.2
ENSP00000299518,1.1.1.41
ENSP00000299626,2.4.1.265
ENSP00000299964,2.1.1.1
ENSP00000300051,1.1.2.4
ENSP00000300060,3.4.11.2
ENSP00000300283,2.7.3.2
ENSP00000300441,6.2.1.2
ENSP00000300738,1.17.4.1
ENSP00000300900,4.2.1.1
ENSP00000301012,4.1.1.33
ENSP00000301149,1.1.1.8
ENSP00000301452,3.5.1.23
ENSP00000301466,2.3.1.26
ENSP00000301522,1.11.1.24
ENSP00000301634,2.7.1.21
ENSP00000301645,1.14.14.23
ENSP00000301645,1.14.14.26
ENSP00000301729,5.3.3.8
ENSP00000301776,3.4.19.5
ENSP00000301776,3.5.1.1
ENSP00000301790,3.1.1.4
ENSP00000301790,3.1.1.32
ENSP00000301825,3.6.1.5
ENSP00000301956,6.2.1.2
ENSP00000301956,6.2.1.25
ENSP00000302177,2.3.1.23
ENSP00000302177,2.3.1.51
ENSP00000302177,2.3.1.n7
ENSP00000302227,2.6.1.7
ENSP00000302227,2.6.1.64
ENSP00000302227,4.4.1.13
ENSP00000302393,1.1.1.27
ENSP00000302441,3.1.3.29
ENSP00000302620,2.6.1.44
ENSP00000302620,2.6.1.51
ENSP00000302629,2.4.1.175
ENSP00000302629,2.4.1.226
ENSP00000302728,3.2.1.31
ENSP00000303077,2.6.1.1
ENSP00000303147,2.5.1.6
ENSP00000303174,2.4.1.17
ENSP00000303211,3.1.1.7
ENSP00000303246,3.1.2.1
ENSP00000303356,1.1.1.10
ENSP00000303423,2.5.1.58
ENSP00000303423,2.5.1.59
ENSP00000303575,3.6.1.13
ENSP00000304736,2.3.1.199
ENSP00000304782,3.1.1.1
ENSP00000304802,2.7.4.9
ENSP00000304811,2.4.1.17
ENSP00000304845,2.4.1.17
ENSP00000305221,2.4.1.17
ENSP00000305595,2.4.1.149
ENSP00000305603,2.4.1.65
ENSP00000305603,2.4.1.152
ENSP00000305692,3.2.1.20
ENSP00000305725,2.8.2.5
ENSP00000305995,2.7.2.3
ENSP00000306397,7.1.1.8
ENSP00000306459,2.4.1.274
ENSP00000306606,1.1.1.105
ENSP00000306817,2.7.1.15
ENSP00000306920,3.2.1.23
ENSP00000307126,1.14.18.5
ENSP00000307126,1.14.19.17
ENSP00000307188,4.3.2.1
ENSP00000307241,1.2.4.1
ENSP00000307252,1.5.3.16
ENSP00000307423,2.4.1.143
ENSP00000307607,1.1.1.105
ENSP00000307674,3.6.1.6
ENSP00000307697,1.17.99.3
ENSP00000307875,2.4.1.135
ENSP00000307900,2.3.1.225
ENSP00000307900,6.3.1.2
ENSP00000307971,2.4.1.222
ENSP00000308032,4.2.1.152
ENSP00000308032,5.3.99.5
ENSP00000308107,3.2.1.166
ENSP00000308258,2.7.8.29
ENSP00000308610,1.1.5.3
ENSP00000309092,2.7.7.13
ENSP00000309259,2.3.1.37
ENSP00000309270,2.8.2.21
ENSP00000309463,2.3.1.181
ENSP00000309477,4.2.1.3
ENSP00000310120,2.4.1.256
ENSP00000310447,3.5.1.2
ENSP00000310551,2.3.1.51
ENSP00000310661,3.1.4.53
ENSP00000310721,1.14.14.26
ENSP00000310721,1.14.14.29
ENSP00000311095,1.14.14.1
ENSP00000311095,1.14.14.80
ENSP00000311224,3.1.2.2
ENSP00000311405,4.6.1.1
ENSP00000311453,3.1.4.53
ENSP00000311469,2.5.1.18
ENSP00000311876,3.5.99.6
ENSP00000311888,2.4.1.101
ENSP00000312126,4.6.1.1
ENSP00000312189,2.3.1.21
ENSP00000312250,2.7.1.147
ENSP00000312286,3.1.1.4
ENSP00000312304,2.1.1.67
ENSP00000312326,1.4.3.21
ENSP00000312606,1.1.1.2
ENSP00000312606,1.1.1.19
ENSP00000312606,1.1.1.20
ENSP00000312606,1.1.1.54
ENSP00000312606,1.1.1.372
ENSP00000313377,2.7.1.33
ENSP00000313432,1.1.1.79
ENSP00000313432,1.1.1.81
